
cord_uid,title,abstract,publish_time,journal,authors,source,year
id083,Mental Health during Pandemic,This is a sample abstract about mental health during pandemic.,2022-08-29,Vaccine Research,Brown C; Green D,medRxiv,2022
id053,New Vaccine Development for COVID-19,This is a sample abstract about new vaccine development for covid-19.,2022-06-18,Journal of Health,Patel R; Singh A,bioRxiv,2022
id070,New Vaccine Development for COVID-19,This is a sample abstract about new vaccine development for covid-19.,2020-05-13,Public Health Reports,Patel R; Singh A,medRxiv,2020
id045,Economic Impacts of COVID-19,This is a sample abstract about economic impacts of covid-19.,2021-03-28,Vaccine Research,Patel R; Singh A,PMC,2021
id044,Social Distancing Effects,This is a sample abstract about social distancing effects.,2021-07-02,Virology Today,Garcia M; Lopez P,ArXiv,2021
id039,Social Distancing Effects,This is a sample abstract about social distancing effects.,2020-01-07,Virology Today,Lee K; Wong M,bioRxiv,2020
id022,Economic Impacts of COVID-19,This is a sample abstract about economic impacts of covid-19.,2022-06-21,Medical Science,Lee K; Wong M,medRxiv,2022
id080,Social Distancing Effects,This is a sample abstract about social distancing effects.,2020-11-05,Virology Today,Patel R; Singh A,PMC,2020
id010,Economic Impacts of COVID-19,This is a sample abstract about economic impacts of covid-19.,2021-05-22,Public Health Reports,Smith J; Doe A,bioRxiv,2021
id000,COVID-19 and Education,This is a sample abstract about covid-19 and education.,2020-09-28,Virology Today,Smith J; Doe A,PMC,2020
id018,Public Policy Responses,This is a sample abstract about public policy responses.,2022-03-02,Medical Science,Lee K; Wong M,bioRxiv,2022
id030,Social Distancing Effects,This is a sample abstract about social distancing effects.,2020-07-12,Medical Science,Garcia M; Lopez P,PMC,2020
id073,COVID-19 Variants and Transmission,This is a sample abstract about covid-19 variants and transmission.,2022-03-08,Global Health Journal,Patel R; Singh A,bioRxiv,2022
id033,Economic Impacts of COVID-19,This is a sample abstract about economic impacts of covid-19.,2020-03-09,Journal of Health,Lee K; Wong M,medRxiv,2020
id090,Mental Health during Pandemic,This is a sample abstract about mental health during pandemic.,2021-11-22,Vaccine Research,Garcia M; Lopez P,ArXiv,2021
id004,Impact of COVID-19 on Health,This is a sample abstract about impact of covid-19 on health.,2022-09-23,Vaccine Research,Smith J; Doe A,ArXiv,2022
id076,Public Policy Responses,This is a sample abstract about public policy responses.,2022-08-31,Virology Today,Patel R; Singh A,PMC,2022
id077,Long-term Effects of COVID-19,This is a sample abstract about long-term effects of covid-19.,2020-05-04,Public Health Reports,Brown C; Green D,medRxiv,2020
id012,Treatment Options for COVID-19,This is a sample abstract about treatment options for covid-19.,2022-03-13,Global Health Journal,Garcia M; Lopez P,ArXiv,2022
id031,Public Policy Responses,This is a sample abstract about public policy responses.,2022-02-09,Virology Today,Lee K; Wong M,medRxiv,2022
